,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max_Temp,Wind_Speed
134,kungurtug,0,RU,1542087141,49,50.6,97.53,255.945,2.16
135,gerash,0,IR,1542081600,93,27.67,54.14,288.15,1.34
136,chokurdakh,80,RU,1542087142,61,70.62,147.9,251.52,3.71
137,berlevag,75,NO,1542084600,93,70.86,29.09,277.15,2.1
138,hauterive,90,FR,1542085200,93,46.09,3.45,284.15,2.1
139,mar del plata,12,AR,1542087143,44,-46.43,-67.52,288.895,5.96
140,zhigansk,56,RU,1542087143,56,66.77,123.37,252.445,1.59
141,haines junction,24,CA,1542087144,88,60.75,-137.51,264.82,0.99
142,yulara,40,AU,1542085200,29,-25.24,130.99,306.15,2.6
143,carauari,88,BR,1542087144,84,-4.88,-66.9,300.87,0.91
144,albanel,90,CA,1542081600,85,48.88,-72.44,267.15,1.0
145,vegachi,64,CO,1542087145,97,6.76,-74.79,291.945,0.91
146,staryy nadym,92,RU,1542087145,93,65.61,72.68,271.52,8.19
147,yellowknife,90,CA,1542084120,78,62.45,-114.38,261.15,6.2
148,havre-saint-pierre,40,CA,1542081600,79,50.23,-63.6,267.15,4.6
149,lorengau,36,PG,1542087146,100,-2.02,147.27,301.87,4.21
150,los llanos de aridane,48,ES,1542085200,63,28.66,-17.92,292.15,6.2
151,hobyo,36,SO,1542087147,72,5.35,48.53,301.97,5.29
152,moussoro,0,TD,1542087147,38,13.64,16.49,292.045,2.24
153,port hedland,0,AU,1542085200,49,-20.31,118.58,305.15,6.7
154,chapais,90,CA,1542085260,92,49.78,-74.86,267.15,3.6
155,san cristobal,75,EC,1542085200,93,-0.39,-78.55,284.15,2.1
156,middletown,90,US,1542084840,89,41.45,-74.42,277.55,1.11
157,taoudenni,0,ML,1542087150,40,22.68,-3.98,285.045,1.59
158,salalah,0,OM,1542084600,51,17.01,54.1,300.15,0.84
159,kanniyakumari,8,IN,1542087150,100,8.08,77.57,301.645,7.29
160,keskin,68,TR,1542087151,88,39.67,33.62,274.72,1.46
161,latung,48,ID,1542087151,94,-8.45,120.42,299.795,0.94
162,faanui,80,PF,1542087151,100,-16.48,-151.75,297.22,4.86
163,sumbe,12,AO,1542087152,98,-11.2,13.84,298.57,1.46
164,lerwick,92,GB,1542084600,93,60.15,-1.15,283.15,5.1
165,samdrup jongkhar,32,IN,1542087152,58,26.8,91.5,293.07,0.91
166,victoria,75,BN,1542085200,74,5.28,115.24,305.15,1.0
167,oranjestad,75,AW,1542081600,83,12.52,-70.03,301.15,7.7
168,cabedelo,24,BR,1542087154,97,-6.97,-34.84,299.17,4.41
169,ostrovnoy,80,RU,1542087154,95,68.05,39.51,272.62,8.96
170,uyemskiy,90,RU,1542083400,80,64.47,40.85,272.15,5.0
171,teya,5,MX,1542084480,78,21.05,-89.07,298.15,4.1
172,lima,8,PE,1542087034,73,-12.06,-77.04,285.145,1.14
173,kalmunai,8,LK,1542087155,75,7.42,81.82,303.62,1.21
174,emirdag,75,TR,1542084600,80,39.02,31.15,278.15,1.26
175,davila,20,PH,1542085200,66,18.47,120.58,304.15,3.1
176,port-gentil,75,GA,1542085200,94,-0.72,8.78,299.15,2.1
177,mahebourg,75,MU,1542085200,74,-20.41,57.7,300.15,5.7
178,tres de maio,36,BR,1542087157,56,-27.77,-54.24,298.72,3.84
179,kaitangata,12,NZ,1542087158,70,-46.28,169.85,288.795,3.36
180,phangnga,20,TH,1542085200,62,8.45,98.53,304.15,3.1
181,cape girardeau,90,US,1542084900,78,37.31,-89.52,275.65,6.2
182,yabrud,0,SY,1542085200,87,33.97,36.66,279.15,2.1
183,bela,8,PK,1542087159,48,26.23,66.31,300.295,1.21
184,najran,0,SA,1542085200,28,17.54,44.22,295.15,2.1
185,bethel,90,US,1542084780,95,60.79,-161.76,268.15,11.8
186,maturin,64,VE,1542087161,79,9.75,-63.18,299.97,2.46
187,wewak,68,PG,1542087161,80,-3.55,143.63,301.77,0.99
188,puerto leguizamo,0,CO,1542087161,90,-0.19,-74.78,298.045,1.04
189,awbari,0,LY,1542087162,79,26.59,12.77,278.47,1.46
190,coihaique,0,CL,1542085200,76,-45.58,-72.07,284.15,1.5
191,banjar,80,ID,1542087163,90,-7.37,108.54,300.02,1.34
192,clyde river,1,CA,1542081600,75,70.47,-68.59,248.15,2.6
193,cayenne,0,GF,1542085200,94,4.94,-52.33,297.15,2.39
194,pangnirtung,0,CA,1542087164,100,66.15,-65.72,255.62,3.31
195,ponta do sol,76,BR,1542087165,97,-20.63,-46.0,291.395,2.01
196,los alamos,1,US,1542086100,72,35.88,-106.3,265.95,1.04
197,lebu,0,ET,1542085200,62,8.96,38.73,287.15,1.0
198,kut chap,75,TH,1542085200,58,17.43,102.57,304.15,1.0
199,sept-iles,90,CA,1542081600,73,50.2,-66.38,268.15,4.6
200,fort saint james,80,CA,1542087167,100,54.43,-124.25,269.295,1.11
201,buinsk,0,RU,1542087167,70,54.97,48.29,259.67,1.66
202,ribeira grande,100,PT,1542087167,98,38.52,-28.7,292.945,11.04
203,overpelt,40,NL,1542084900,93,51.21,5.42,284.15,4.1
204,faridpur,0,IN,1542087168,89,28.21,79.54,296.42,1.94
205,cherskiy,0,RU,1542087169,50,68.75,161.3,246.07,0.91
206,raudeberg,75,NO,1542084600,81,61.99,5.14,282.15,6.2
207,boda,20,BD,1542083400,50,26.2,88.56,299.15,1.5
